uniqueid,date,pagepath,pagetitle,sessionmedium,sessionsource,landingpage,browser,day,sessions,screenpageviews,activeusers,userengagementduration,engagementrate,conversions,totalrevenue,averagesessionduration,bouncerate,newusers,formatted_date
aca8fe2012393788346176be41d54a1c3957b260ae4a05beab900a1376868a56,Wed Aug 23 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,23,3,7,1,0,0.66666666666666663,0,0,234.22808933333332,0.33333333333333331,1,2023-08-23
90dc8d3d61df9f1b5c71d070e36426a161f48b8c5ba4d10ab02d42715f920bdc,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/june-digital-events-calendar-2,Chrome,25,3,1,3,23,0.33333333333333331,0,0,29.756533666666666,0.66666666666666663,0,2023-08-25
c4c246a85fdb586d827a1d15d2ad3112177d4540ae42d580c0cc1b81403d67e8,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/may-digital-events-calendar-2/,May Digital Events Calendar - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,25,3,3,3,0,0,0,0,16.436583333333335,1,0,2023-08-25
d08d1f4a777da5d460f2d802a6a45120ddfcdccadf57df4c0d05c5d027a67fdb,Mon Aug 28 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,28,3,0,3,0,0,5,0,0,1,0,2023-08-28
664f68271815195ce8ac9c381da612a6bc915f32e95073af676d332cd7991ca0,Tue Aug 29 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,29,3,3,3,28,0.66666666666666663,1,0,303.91826,0.33333333333333331,2,2023-08-29
676fae568980633b1411bb89269b69d9da0118dda022029e32309a7ddd100c59,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/seo-in-2023,Chrome,31,3,15,3,103,1,20,0,780.65675033333343,0,2,2023-08-31
136a8db819dde52ea6c88286ac73876b308a09ba4555021ad10f4a2ac04715cc,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,01,3,0,3,0,0,0,0,0,1,0,2023-09-01
58f65253453e2c02827eb29053f3e7c403181c773b17c30aed87e40b01e8568b,Fri Sep 01 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/seo-in-2023,Chrome,01,3,6,2,164,0.66666666666666663,19,0,1293.2386666666666,0.33333333333333331,1,2023-09-01
da8f393b64f365fa639cfea00c65814be9e712c0ae75736c7042c75eb77cd186,Fri Sep 15 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,15,5,0,5,0,0,0,0,0,1,0,2023-09-15
e38de53d37105bb2ba577054963fb22fcc628928c2fedac3972d40f0aea29aab,Tue Sep 19 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,19,5,0,5,0,0,0,0,0,1,0,2023-09-19
21432c5dfa8deed819638ca6283f7fd0e421b7394bc1422add9e8cba517f3582,Fri Aug 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/june-digital-events-calendar-2/,June Digital Events Calendar - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,25,4,23,4,54,0,0,0,758.0817085,1,0,2023-08-25
9f36c069704a430e7ecc4f0014c3181abaa1e0e2bb6c482093381b789837e19f,Tue Aug 29 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,29,4,0,4,0,0,0,0,0,1,0,2023-08-29
c8ae8b0e7cb024efa526cc5b232fc267d9b58a7da176421f76c9c2a1ffc3d5f8,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,organic,google,/category/emedia-patch-blog,Chrome,31,4,11,3,133,1,25,0,850.28367675,0,0,2023-08-31
1fdd59cc587e5f5d8217a8c52f014b6a8768023222f2b58018e549a23bcbd365,Thu Aug 31 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/seo-in-2023,Safari,31,4,6,3,29,0.5,4,0,250.1204485,0.5,2,2023-08-31
d2103abb5b73b62b77c74105ad408dbea3ae90c50b9d306529cded5181a1c7fe,Tue Sep 05 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,05,4,0,4,0,0,0,0,0,1,0,2023-09-05
939d3b76c3692406f9434c87e9fa7b45b3c7b14c93ad1fb44db6f11e3205f2aa,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,07,4,0,4,0,0,0,0,0,1,0,2023-09-07
19216d9f060b311eebb8d75b777408a4fd2f0214609d6a5829f29a3df8311935,Thu Sep 14 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/adis/,Adis Avdic - eMedia Patch,organic,google,/portfolio-item/adis,Safari,14,3,4,2,29,0.33333333333333331,0,0,22.836389666666665,0.66666666666666663,2,2023-09-14
1852ff70fdd8ba7d28b8680ec591dd8285c0f41120a4e7710f735d4f8e62870c,Thu Sep 14 2023 00:00:00 GMT+0200 (Central European Summer Time),/visual-design-crafting-lasting-impressions/,Visual Design & Crafting Lasting Impressions - eMedia Patch,organic,google,/category/emedia-patch-blog,Chrome,14,3,4,2,47,1,0,0,18.825999333333332,0,0,2023-09-14
a4daec2b36f3867fcef2655fab1c02af140c5e7c101b9686a355d0124bd651ce,Fri Sep 15 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,15,3,0,3,0,0,0,0,0,1,0,2023-09-15
4cd64cf15d8903d3336d34e94412f382bb516496e106800d09cd2ae5a2ae2b0d,Sat Sep 16 2023 00:00:00 GMT+0200 (Central European Summer Time),/visual-design-crafting-lasting-impressions/,Visual Design & Crafting Lasting Impressions - eMedia Patch,referral,linkedin.com,/visual-design-crafting-lasting-impressions,Safari (in-app),16,3,3,3,0,0,0,0,0,1,3,2023-09-16
2f47b1f76dce25e384dd15d2c7e89aaa5b005602ccd56fb09afbe3a9952f3cc9,Mon Sep 18 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,18,3,0,3,0,0,0,0,0,1,0,2023-09-18
12f316b80c5a434a0d09584a9b8b87e7fd78b762cf84a540531a5c5411adf3eb,Mon Sep 18 2023 00:00:00 GMT+0200 (Central European Summer Time),/visual-design-crafting-lasting-impressions/,Visual Design & Crafting Lasting Impressions - eMedia Patch,referral,linkedin.com,/visual-design-crafting-lasting-impressions,Chrome,18,3,3,2,43,0.33333333333333331,0,0,14.664825,0.66666666666666663,1,2023-09-18
2a495de8da24bd1f41609e44aa52442df5f1c3c7ba33622ede1877798164630e,Tue Sep 19 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,organic,google,/category/emedia-patch-blog,Chrome,19,3,5,3,24,1,4,0,14.015199333333333,0,0,2023-09-19
a647867c6b2a33ca690bcbf76da7f42d0858bf4c22b44a011907feb19373acb9,Thu Jul 13 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,13,2,0,2,0,0,4,0,0,1,0,2023-07-13
857890fc453b000eb180441b93656c1a2d692d4563942968a8c1ea457b4239d9,Thu Jul 13 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,13,2,2,2,0,0,0,0,0,1,2,2023-07-13
4327d4f81f21d038ae2114fa6006127ea454bc2a99b9b62495b64e76303d43a0,Sat Jul 15 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Safari,15,2,2,1,0,0,0,0,0,1,1,2023-07-15
dbc7f6314407b0d5ff18b176a4342ecd51ccdd7314a24e599bfe04ea6318ad8c,Tue Jul 25 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,25,2,2,2,0,0,0,0,0,1,2,2023-07-25
55a78d323060c8dd3d2ae81fe873e68c10b8eec17edea82b612467d090338ab8,Fri Jul 28 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),(none),(direct),(not set),Chrome,28,2,0,2,0,0,3,0,0,1,0,2023-07-28
45cae98c9aed3b50066c6210a3619c236acbfa8fae327dd9268724b2856a4e86,Wed Aug 02 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Chrome,02,2,2,2,0,0,0,0,2.695988,1,2,2023-08-02
c6d70bba6db4f184ec63a6f1e479e5c544c9df194827fd3241a03401f3228354,Wed Aug 09 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Chrome,09,2,2,2,0,0,0,0,0,1,2,2023-08-09
4c458033872125722a96ed03ce6dba3fb22a5c932dab5aadf24740a4bb26256f,Thu Aug 10 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Chrome,10,2,2,2,0,0,0,0,0,1,2,2023-08-10
c69dacf53f0cc5279ec01a7b9a49c658faa473defff6ea6861ebd7632dfd6c01,Sun Aug 13 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Safari,13,2,2,2,0,0,0,0,0,1,2,2023-08-13
91bdb2c56f42519db21df2059af8e6322b64a1175120c11bb5c713e7a66ce484,Thu Aug 17 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Safari,17,2,2,2,0,0,0,0,0,1,2,2023-08-17
35936d5caa20042d583fcd49a5fbed096d1cf403c92098072c49eb23a83c9ded,Fri Aug 18 2023 00:00:00 GMT+0200 (Central European Summer Time),/portfolio-item/masa/,Masa Campara - eMedia Patch,organic,google,/portfolio-item/masa,Chrome,18,2,2,2,0,0,0,0,0,1,2,2023-08-18
7d27f19ea00a4f49abf6b5a4a21c94f584b17cba89578e8b669a7a74a66b96a2,Mon Aug 21 2023 00:00:00 GMT+0200 (Central European Summer Time),/category/emedia-patch-blog/,eMedia Patch Blog Archives - eMedia Patch,(none),(direct),/category/emedia-patch-blog,Chrome,21,2,2,2,0,0,0,0,0,1,2,2023-08-21
195901686047e3335555dca56ef4aaf8bbb84040693fa7f14b48d65329a9856f,Sat Sep 02 2023 00:00:00 GMT+0200 (Central European Summer Time),/careers21.html,Page not found - eMedia Patch,organic,google,/careers21.html,Safari,02,3,3,3,17,0.33333333333333331,0,0,25.546364999999998,0.66666666666666663,3,2023-09-02
95da1568f4b157172155558a0901c4ba400989f8e5eef7f8032342bcd685b711,Mon Sep 04 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),organic,google,(not set),Chrome,04,3,0,3,0,0,0,0,0,1,0,2023-09-04
d86c1e51e69d805fcb2a8be167d77bba09bdbe0bda3117a89a50188ee520fe24,Mon Sep 04 2023 00:00:00 GMT+0200 (Central European Summer Time),/careers21.html,Page not found - eMedia Patch,organic,google,/careers21.html,Chrome,04,3,4,3,8,0.66666666666666663,0,0,8.3849006666666668,0.33333333333333331,3,2023-09-04
28cf732aff65dc1b972daf6d57d63a8d4501b2eafdadb0b674e3cd754a15ba66,Tue Sep 05 2023 00:00:00 GMT+0200 (Central European Summer Time),/careers21.html,Page not found - eMedia Patch,organic,google,/careers21.html,Chrome,05,3,6,3,20,0.33333333333333331,0,0,76.275092666666666,0.66666666666666663,3,2023-09-05
05e0ef3e44b20f099afafa06d816e787bbd1295eb14883512244b9844af3cc31,Thu Sep 07 2023 00:00:00 GMT+0200 (Central European Summer Time),(not set),(not set),referral,l.instagram.com,(not set),Safari (in-app),07,3,0,3,0,0,0,0,0,1,0,2023-09-07
d240ed1e613ac93584aa1b9be3ad6d1a878883b56bb6f90c8a9307594464f62a,Fri Sep 08 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,(none),(direct),/seo-in-2023,Chrome,08,3,3,3,331,1,0,0,110.757018,0,3,2023-09-08
b548354827a855a4743804c23f6aed0f92bd2ee66baa6f80f628401407ad7869,Fri Sep 08 2023 00:00:00 GMT+0200 (Central European Summer Time),/seo-in-2023/,SEO in 2023: The Future of Online Visibility - eMedia Patch,referral,linkedin.com,/seo-in-2023,Chrome,08,3,3,2,138,0.66666666666666663,0,0,314.346588,0.33333333333333331,2,2023-09-08
